scope,config,patch_embed_ms,pre_merge_blocks_ms,merge_module_ms,post_merge_blocks_ms,norm_ms,restore_dense_ms,total_profiled_ms,tokens_final,tokens_original
A_l12,baseline,2.9378862430651984,684.2907278074158,0.0,0.0,0.6224697248803245,0.0032058192623986136,687.8872737288475,32768.0,32768.0
A_l12,B0_r0_sanity_same_time_vec_l12_512,2.939263772633341,374.6080601380931,0.06354600191116333,320.36577434175547,0.6476702789465586,0.2743750810623169,699.0313287824392,32768.0,32768.0
A_l12,A_sim_same_time_vec_l12_r0.05_512,2.9282433291276297,373.99728016720877,3.198356471127934,277.8564285900858,0.3369473334815767,0.2601186020506753,658.7082180711958,32768.0,32768.0
A_l12,A_sim_same_time_vec_l12_r0.1_512,2.928360468811459,374.465258171161,3.262634285622173,254.4585975507895,0.3087085982163747,0.24596560332510206,635.7974546651045,32768.0,32768.0
A_l12,A_sim_same_time_vec_l12_r0.125_512,2.915495385726293,374.79222503801185,3.24025915728675,245.61551006303893,0.28579475151167977,0.22813595003551906,627.1826432396969,32768.0,32768.0
B_l12,baseline,2.940135490563181,685.2642761336433,0.0,0.0,0.629446365767055,0.0031350387467278373,688.8731800847584,32768.0,32768.0
B_l12,B0_r0_sanity_protect_vec_l12_512,2.9417257755994797,374.81241818103524,0.649111345410347,320.5134558180968,0.6178592642148336,0.25276487900151146,699.8902077062262,32768.0,32768.0
B_l12,B_protect_norm_motion_local_top1_l12_r0.05_512,2.9334322445922427,374.74932956198853,3.7852728532420263,277.9827672574255,0.30966993007395005,0.23515853616926405,660.1001974195242,32768.0,32768.0
B_l12,B_protect_norm_motion_local_top1_l12_r0.1_512,2.9280015991793737,374.8441706928942,3.8252907494703927,254.16329958372646,0.297093970908059,0.22768374118540022,636.3901829140054,32768.0,32768.0
B_l12,B_protect_norm_motion_local_top1_l12_r0.125_512,2.9395632445812225,375.0948787977298,3.850052133202553,245.23776003883944,0.2856527765591939,0.22620438701576656,627.733565453026,32768.0,32768.0
C_l12,baseline,2.9556244197818966,684.5922906779581,0.0,0.0,0.6328788068559434,0.0032952262295616996,688.2215707252423,32768.0,32768.0
C_l12,B0_r0_sanity_hybrid_vec_l12_512,2.9539455556207233,374.2657382455137,0.6869404266277949,320.38405661781627,0.6347298622131348,0.26529178851180607,699.3229941775402,32768.0,32768.0
C_l12,C_hybrid_norm_motion_local_top1_l12_r0.05_512,2.9682266629404492,375.4374297956626,3.8366768923070698,277.93828873998586,0.3174781385395262,0.24462098048792946,660.8576664908064,32768.0,32768.0
C_l12,C_hybrid_norm_motion_local_top1_l12_r0.1_512,2.953775847951571,375.39609149098396,3.8431586904658213,254.12311487727695,0.2971651653448741,0.22956211533811358,636.9460603843132,32768.0,32768.0
C_l12,C_hybrid_norm_motion_local_top1_l12_r0.125_512,2.955576404929161,375.9699167890681,3.8537329269780054,245.31221182809935,0.28403331008222366,0.22404144207636514,628.7012222326464,32768.0,32768.0
