method,ratio,speedup,latency_ms,tokens_after,mean_cos,p10,p1,rel_l2,fallback
baseline,0,1.0000,688.12,32768,1.000000,1.000000,1.000000,0.000000,
A,0.050,1.0442,658.96,31130,0.987576,0.981041,0.765688,0.161047,False
A,0.100,1.0803,636.98,29492,0.970596,0.907692,0.628527,0.246787,False
A,0.125,1.0951,628.36,28672,0.960979,0.871931,0.580908,0.283815,False
B2_importance,0.050,1.0392,662.16,31130,0.985741,0.978977,0.718412,0.172268,False
B2_importance,0.100,1.0765,639.24,29492,0.965566,0.884480,0.575162,0.266243,False
B2_importance,0.125,1.0895,631.59,28672,0.954171,0.839980,0.529484,0.306646,False
C2_gated,0.050,1.0396,661.89,31130,0.987544,0.980723,0.763927,0.161267,False
C2_gated,0.100,1.0773,638.77,29492,0.970577,0.907796,0.626646,0.246872,False
C2_gated,0.125,1.0908,630.84,28672,0.960924,0.872052,0.579315,0.283995,False
